,Price,SQFT,rooms,Des
0,"₹ 45 Lac
₹ 2,255/sq.ft.","1,995 sq.ft.
(185 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar Extension
1,"₹ 92 Lac
₹ 3,755/sq.ft.","2,450 sq.ft.
(228 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Mahindra Sez
2,"₹ 38 - 95 Lac
₹ 2,111/sq.ft.","1,800-4,500 sq.ft.
(167-418 sq.m.) Plot Area",,Residential land / Plot in Mahapura
3,₹ 11.65 - 20.99 Lac,"999-1,800 sq.ft.
(93-167 sq.m.) Plot Area",,Residential land / Plot in Jaisinghpura
4,"₹ 2.53 Cr
₹ 6,111/sq.ft.","4,140 sq.ft.
(385 sq.m.) Plot Area",,Residential land / Plot in Vaishali Nagar
5,₹ 41.71 Lac Onwards,"1,231 sq.ft.
(114 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Jagatpura
6,"₹ 65 Lac
₹ 4,460/sq.ft.","1,457 sq.ft.
(135 sq.m.) Built-up Area","3 BHK
4 Baths",3 Bedroom Independent House in Gandhi Path
7,₹ 52 Lac Onwards,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Jagatpura
8,₹ 84.21 Lac,"2,415 sq.ft.
(224 sq.m.) Super built-up Area","4 BHK
4 Baths",4 BHK Residential Apartment in Jagatpura
9,₹ 92.5 Lac,"2,723 sq.ft.
(253 sq.m.) Built-up Area",4 BHK,4 Bedroom Independent House in Mahapura
10,"₹ 7.75 - 23.25 Lac
₹ 861/sq.ft.","900-2,700 sq.ft.
(84-251 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
11,"₹ 28 Lac
₹ 2,500/sq.ft.","1,151 sq.ft.
(107 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
12,"₹ 1.09 Cr
₹ 12,111/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","5 BHK
2 Baths",5 Bedroom Independent House in Shastri Nagar
13,₹ 44.95 Lac,"1,370 sq.ft.
(127 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
14,"₹ 65 Lac
₹ 4,460/sq.ft.","1,457 sq.ft.
(135 sq.m.) Built-up Area","3 BHK
4 Baths",3 Bedroom Independent House in Gandhi Path
15,"₹ 60 - 80 Lac
₹ 3,875/sq.ft.","1,600-2,000 sq.ft.
(149-186 sq.m.) Built-up Area",3 BHK,3 Bedroom Independent House in Mansarovar Extension
16,₹ 41.11 Lac,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK,2 BHK Residential Apartment in Ajmer Road
17,"₹ 3.5 Cr
₹ 14,620/sq.ft.","2,394 sq.ft.
(222 sq.m.) Plot Area",,Residential land / Plot in Jawahar Nagar
18,"₹ 33.5 Lac
₹ 2,253/sq.ft.","1,486 sq.ft.
(138 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
19,₹ 84 Lac,"2,415 sq.ft.
(224 sq.m.) Super built-up Area","4 BHK
4 Baths",4 BHK Residential Apartment in Jagatpura
20,₹ 41.11 Lac,"799 sq.ft.
(74 sq.m.) Carpet Area",2 BHK,2 BHK Residential Apartment in Ajmer Road
21,₹ 54.38 Lac Onwards,"1,057-1,218 sq.ft.
(98-113 sq.m.) Carpet Area",,3 BHK Residential Apartment in Ajmer Road
22,₹ 41 Lac,"1,231 sq.ft.
(114 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
23,₹ 1.53 - 1.65 Cr,"2,214-2,389 sq.ft.
(206-222 sq.m.) Super built-up Area",,4 BHK Residential Apartment in Raja Park
24,₹ 1.14 - 1.35 Cr,"1,652-1,959 sq.ft.
(153-182 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Raja Park
25,₹ 51 Lac Onwards,"1,490-1,677 sq.ft.
(138-156 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Jagatpura
26,"₹ 37.9 Lac
₹ 7,814/sq.ft.","485 sq.ft.
(45 sq.m.) Super built-up Area","1 RK
1 Bath",(1 RK) Studio Apartment in Tonk Road
27,"₹ 37.9 Lac
₹ 7,814/sq.ft.","485 sq.ft.
(45 sq.m.) Super built-up Area",1 BHK,1 BHK Residential Apartment in Tonk Road
28,₹ 51 - 65 Lac,"1,165-1,470 sq.ft.
(108-137 sq.m.) Super built-up Area",3 BHK,3 BHK Residential Apartment in Malviya Nagar
29,₹ 1.45 - 1.48 Cr,"2,071-2,112 sq.ft.
(192-196 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Tilak Nagar
30,₹ 66.15 Lac,"1,575 sq.ft.
(146 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Vaishali Nagar
31,"₹ 17.12 Lac
₹ 3,396/sq.ft.","504 sq.ft.
(47 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Mansarovar Extension
32,"₹ 32.65 Lac
₹ 3,197/sq.ft.","1,021 sq.ft.
(95 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Mansarovar Extension
33,₹ 68.5 Lac,"1,546 sq.ft.
(144 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Vaishali Nagar
34,"₹ 23.4 - 26.75 Lac
₹ 3,200/sq.ft.","731-836 sq.ft.
(68-78 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Mansarovar Extension
35,₹ 43.26 - 47.46 Lac,"1,030-1,130 sq.ft.
(96-105 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
36,"₹ 45 Lac
₹ 2,255/sq.ft.","1,995 sq.ft.
(185 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar Extension
37,"₹ 45.76 - 46.77 Lac
₹ 3,349/sq.ft.","1,366-1,396 sq.ft.
(127-130 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Jagatpura
38,"₹ 66.95 - 98.73 Lac
₹ 4,299/sq.ft.","1,556-2,295 sq.ft.
(145-213 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Mansarovar
39,"₹ 52.24 Lac
₹ 3,996/sq.ft.","1,306 sq.ft.
(121 sq.m.) Super built-up Area",2 BHK,2 BHK Residential Apartment in Mansarovar
40,"₹ 37.47 Lac
₹ 2,950/sq.ft.","1,270 sq.ft.
(118 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
41,"₹ 44.46 Lac
₹ 2,950/sq.ft.","1,507 sq.ft.
(140 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Ajmer Road
42,"₹ 30.08 - 33.83 Lac
₹ 3,350/sq.ft.","897-1,009 sq.ft.
(83-94 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Jagatpura
43,₹ 26.75 - 30.56 Lac,"900-1,002 sq.ft.
(84-93 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Jagatpura
44,₹ 40.72 Lac,"1,408 sq.ft.
(131 sq.m.) Super built-up Area",3 BHK,3 BHK Residential Apartment in Jagatpura
45,₹ 19.99 Lac,"710 sq.ft.
(66 sq.m.) Super built-up Area",1 BHK,1 BHK Residential Apartment in Jagatpura
46,"₹ 8.4 Lac
₹ 2,295/sq.ft.","366 sq.ft.
(34 sq.m.) Super built-up Area",1 BHK,1 BHK Residential Apartment in Jagatpura
47,₹ 55 Lac,"1,373 sq.ft.
(128 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Vaishali Nagar
48,₹ 54.58 - 61.12 Lac,"1,475-1,652 sq.ft.
(137-153 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Vaishali Nagar
49,₹ 44.03 - 44.58 Lac,"1,190-1,205 sq.ft.
(111-112 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
50,Price on Request,"2,236 sq.ft.
(208 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Vaishali Nagar
51,"₹ 29 Lac
₹ 2,292/sq.ft.","1,265 sq.ft.
(118 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
52,"₹ 42 - 43 Lac
₹ 3,204/sq.ft.","1,311-1,341 sq.ft.
(122-125 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
53,"₹ 60 Lac
₹ 1,500/sq.ft.","5,000 sq.ft.
(465 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Malviya Nagar
54,"₹ 82.57 Lac
₹ 5,310/sq.ft.","1,555 sq.ft.
(144 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
55,₹ 44.75 - 47.65 Lac,"1,377-1,466 sq.ft.
(128-136 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Vaishali Nagar
56,₹ 63 - 80 Lac,"1,625-2,040 sq.ft.
(151-190 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Vaishali Nagar
57,₹ 79 Lac,"2,040 sq.ft.
(190 sq.m.) Super built-up Area","4 BHK
4 Baths",4 BHK Residential Apartment in Vaishali Nagar
58,₹ 47 - 65 Lac,"1,225-1,625 sq.ft.
(114-151 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
59,₹ 51 Lac,"1,399 sq.ft.
(130 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Jaisinghpura
60,₹ 32 - 40 Lac,"1,138-1,417 sq.ft.
(106-132 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
61,"₹ 19 Lac
₹ 4,051/sq.ft.","469 sq.ft.
(44 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Gandhi Path
62,"₹ 3.55 Cr
₹ 9,200/sq.ft.","3,855 sq.ft.
(358 sq.m.) Carpet Area","4 BHK
4 Baths",4 BHK Residential Apartment in J.L.N.Marg
63,₹ 31.98 - 36.21 Lac,"984-1,114 sq.ft.
(91-103 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
64,"₹ 28.88 - 46.06 Lac
₹ 3,800/sq.ft.","760-1,212 sq.ft.
(71-113 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
65,"₹ 21.47 - 24.32 Lac
₹ 3,800/sq.ft.","565-640 sq.ft.
(52-59 sq.m.) Super built-up Area",,1 BHK Residential Apartment in Vaishali Nagar
66,"₹ 44.02 - 47.9 Lac
₹ 3,100/sq.ft.","1,420-1,545 sq.ft.
(132-144 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Jhotwara
67,"₹ 14.32 - 17.9 Lac
₹ 1,989/sq.ft.","720-900 sq.ft.
(67-84 sq.m.) Plot Area",,Residential land / Plot in Mahapura
68,₹ 92 Lac,"2,400 sq.ft.
(223 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Ajmer Road
69,"₹ 36.61 - 93.38 Lac
₹ 1,883/sq.ft.","1,944-4,959 sq.ft.
(181-461 sq.m.) Plot Area",,Residential land / Plot in Mahapura
70,"₹ 33.89 - 84.74 Lac
₹ 1,883/sq.ft.","1,800-4,500 sq.ft.
(167-418 sq.m.) Plot Area",,Residential land / Plot in Mahapura
71,"₹ 1.14 Cr
₹ 7,100/sq.ft.","1,610 sq.ft.
(150 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
72,"₹ 1.35 Cr
₹ 5,098/sq.ft.","2,648 sq.ft.
(246 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Patrakar Colony
73,"₹ 73.5 Lac
₹ 3,340/sq.ft.","2,200 sq.ft.
(204 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Gandhi Path
74,₹ 31.98 - 36.21 Lac,"984-1,114 sq.ft.
(91-103 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
75,₹ 44.75 - 47.65 Lac,"1,377-1,466 sq.ft.
(128-136 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Vaishali Nagar
76,₹ 54.58 - 61.12 Lac,"1,475-1,652 sq.ft.
(137-153 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Vaishali Nagar
77,₹ 44.03 - 44.58 Lac,"1,190-1,205 sq.ft.
(111-112 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
78,₹ 47 Lac,"1,463 sq.ft.
(136 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
79,"₹ 16.95 Lac - 2.03 Cr
₹ 1,883/sq.ft.","900-10,800 sq.ft.
(84-1003 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
80,₹ 65 Lac,"2,000 sq.ft.
(186 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Sirsi Road
81,"₹ 8 Cr
₹ 14,043/sq.ft.","5,697 sq.ft.
(529 sq.m.) Plot Area",,Residential land / Plot in C-Scheme
82,"₹ 29 Lac
₹ 3,222/sq.ft.","900 sq.ft.
(84 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Sirsi Road
83,"₹ 42.6 - 48.45 Lac
₹ 3,000/sq.ft.","1,420-1,615 sq.ft.
(132-150 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Vaishali Nagar
84,"₹ 36.12 - 36.82 Lac
₹ 3,500/sq.ft.","1,032-1,052 sq.ft.
(96-98 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Gandhi Path
85,"₹ 51.49 - 56.91 Lac
₹ 3,500/sq.ft.","1,471-1,626 sq.ft.
(137-151 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Gandhi Path
86,"₹ 44.72 - 44.96 Lac
₹ 3,651/sq.ft.","1,224-1,232 sq.ft.
(114-114 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Mohanpura
87,"₹ 29.09 - 34.31 Lac
₹ 3,377/sq.ft.","853-1,027 sq.ft.
(79-95 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Mohanpura
88,"₹ 23.5 Lac
₹ 2,673/sq.ft.","879 sq.ft.
(82 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Bhankrota
89,"₹ 26 Lac
₹ 2,300/sq.ft.","1,010 sq.ft.
(94 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Patrakar Colony
90,₹ 25.51 Lac,"1,072 sq.ft.
(100 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jhotwara
91,"₹ 20.51 Lac
₹ 2,433/sq.ft.","842 sq.ft.
(78 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jhotwara
92,"₹ 31 - 32 Lac
₹ 3,223/sq.ft.","955-987 sq.ft.
(89-92 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
93,"₹ 37.2 - 44.81 Lac
₹ 2,949/sq.ft.","1,261-1,519 sq.ft.
(117-141 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Ajmer Road
94,₹ 71 Lac,"1,546 sq.ft.
(144 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Vaishali Nagar
95,"₹ 24.16 Lac
₹ 2,900/sq.ft.","833 sq.ft.
(77 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
96,"₹ 18.99 Lac
₹ 3,074/sq.ft.","617 sq.ft.
(57 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Gandhi Path
97,"₹ 12.75 Lac
₹ 3,119/sq.ft.","408 sq.ft.
(38 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Gandhi Path
98,"₹ 18.8 - 67.49 Lac
₹ 1,989/sq.ft.","945-3,393 sq.ft.
(88-315 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
99,"₹ 17.9 - 35.8 Lac
₹ 1,989/sq.ft.","900-1,800 sq.ft.
(84-167 sq.m.) Plot Area",,Residential land / Plot in Mahapura
100,"₹ 27.93 - 37.2 Lac
₹ 3,100/sq.ft.","901-1,200 sq.ft.
(84-111 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Jhotwara
101,"₹ 30.49 Lac
₹ 2,200/sq.ft.","1,386 sq.ft.
(129 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
102,"₹ 30.8 - 34.91 Lac
₹ 2,200/sq.ft.","1,400-1,587 sq.ft.
(130-147 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Ajmer Road
103,"₹ 24.09 - 25.1 Lac
₹ 2,200/sq.ft.","1,095-1,141 sq.ft.
(102-106 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Ajmer Road
104,₹ 38 Lac,"736 sq.ft.
(68 sq.m.) Built-up Area","2 BHK
2 Baths",2 Bedroom Independent House in Jaisinghpura
105,₹ 51 Lac,"1,402 sq.ft.
(130 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Jaisinghpura
106,"₹ 36 - 38 Lac
₹ 3,707/sq.ft.","983-1,011 sq.ft.
(91-94 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Mahapura
107,"₹ 26 - 27 Lac
₹ 3,392/sq.ft.","682-907 sq.ft.
(63-84 sq.m.) Built-up Area","2 BHK
2 Baths",2 Bedroom Independent House in Mahapura
108,₹ 20.5 - 24.5 Lac,"726-836 sq.ft.
(67-78 sq.m.) Carpet Area",2 BHK,2 BHK Residential Apartment in Mahindra Sez
109,₹ 14.25 Lac,"503 sq.ft.
(47 sq.m.) Carpet Area",1 BHK,1 BHK Residential Apartment in Mahindra Sez
110,₹ 31.98 - 36.21 Lac,"984-1,114 sq.ft.
(91-103 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
111,₹ 44.75 - 47.65 Lac,"1,377-1,466 sq.ft.
(128-136 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Vaishali Nagar
112,"₹ 40 - 42.5 Lac
₹ 2,116/sq.ft.","1,848-2,052 sq.ft.
(172-191 sq.m.) Super built-up Area",3 BHK,3 BHK Independent Builder Floor in Ajmer Road
113,"₹ 52 Lac
₹ 2,020/sq.ft.","2,573 sq.ft.
(239 sq.m.) Super built-up Area",4 BHK,4 BHK Independent Builder Floor in Ajmer Road
114,₹ 44.03 Lac,"1,190 sq.ft.
(111 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
115,"₹ 14 Lac
₹ 3,010/sq.ft.","465 sq.ft.
(43 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Sirsi Road
116,"₹ 22.5 Lac
₹ 3,000/sq.ft.","750 sq.ft.
(70 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Sirsi Road
117,"₹ 38 Lac
₹ 3,653/sq.ft.","1,040 sq.ft.
(97 sq.m.) Built-up Area","2 BHK
2 Baths",2 Bedroom Independent House in Ajmer Road
118,"₹ 14.65 - 74.75 Lac
₹ 1,661/sq.ft.","882-4,500 sq.ft.
(82-418 sq.m.) Plot Area",,Residential land / Plot in Thikariya
119,"₹ 31.8 - 38.1 Lac
₹ 3,000/sq.ft.","1,060-1,270 sq.ft.
(98-118 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Vaishali Nagar
120,"₹ 55.13 Lac
₹ 1,161/sq.ft.","4,746 sq.ft.
(441 sq.m.) Plot Area",,Residential land / Plot in Valley Park
121,₹ 28 Lac,"1,250 sq.ft.
(116 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
122,₹ 27 Lac,"1,200 sq.ft.
(111 sq.m.) Super built-up Area",3 BHK,3 BHK Residential Apartment in Jagatpura
123,"₹ 19.72 Lac
₹ 3,679/sq.ft.","536 sq.ft.
(50 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Jagatpura
124,"₹ 17.45 Lac
₹ 3,727/sq.ft.","468 sq.ft.
(43 sq.m.) Super built-up Area","1 RK
1 Bath",(1 RK) Studio Apartment in Jagatpura
125,"₹ 25.51 Lac
₹ 3,188/sq.ft.","800 sq.ft.
(74 sq.m.) Super built-up Area",2 BHK,2 BHK Residential Apartment in Jagatpura
126,₹ 17.21 - 18.75 Lac,"403-441 sq.ft.
(37-41 sq.m.) Super built-up Area",,(1 RK) Studio Apartment in Jagatpura
127,₹ 23.5 Lac,"879 sq.ft.
(82 sq.m.) Super built-up Area",2 BHK,2 BHK Residential Apartment in Bhankrota
128,₹ 13.9 Lac,"564 sq.ft.
(52 sq.m.) Super built-up Area",1 BHK,1 BHK Residential Apartment in Bhankrota
129,"₹ 3.25 Cr
₹ 11,122/sq.ft.","2,844 sq.ft.
(264 sq.m.) Plot Area","3 BHK
4 Baths",3 Bedroom Independent House in Jagatpura
130,"₹ 25.18 - 26.2 Lac
₹ 2,300/sq.ft.","1,095-1,139 sq.ft.
(102-106 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Ajmer Road
131,₹ 29.7 Lac,"1,494 sq.ft.
(139 sq.m.) Plot Area",,Residential land / Plot in Narsinghpura
132,"₹ 56.35 Lac
₹ 2,189/sq.ft.","2,573 sq.ft.
(239 sq.m.) Super built-up Area",4 BHK,4 BHK Independent Builder Floor in Ajmer Road
133,"₹ 40.49 - 44.94 Lac
₹ 2,189/sq.ft.","1,848-2,052 sq.ft.
(172-191 sq.m.) Super built-up Area",,3 BHK Independent Builder Floor in Ajmer Road
134,"₹ 33.89 - 42.37 Lac
₹ 1,883/sq.ft.","1,800-2,250 sq.ft.
(167-209 sq.m.) Plot Area",,Residential land / Plot in Mahapura
135,"₹ 40.15 - 53.66 Lac
₹ 2,390/sq.ft.","1,680-2,245 sq.ft.
(156-209 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Ajmer Road
136,"₹ 30.47 - 34.18 Lac
₹ 2,390/sq.ft.","1,275-1,430 sq.ft.
(118-133 sq.m.) Super built-up Area",,2 BHK Residential Apartment in Ajmer Road
137,"₹ 66.56 - 97.87 Lac
₹ 2,390/sq.ft.","2,785-4,095 sq.ft.
(259-380 sq.m.) Super built-up Area",,4 BHK Residential Apartment in Ajmer Road
138,"₹ 44.57 - 51.38 Lac
₹ 2,390/sq.ft.","1,865-2,150 sq.ft.
(173-200 sq.m.) Super built-up Area",,3 BHK Residential Apartment in Ajmer Road
139,"₹ 14.65 - 74.75 Lac
₹ 1,661/sq.ft.","882-4,500 sq.ft.
(82-418 sq.m.) Plot Area",,Residential land / Plot in Thikariya
140,"₹ 24 Lac
₹ 2,374/sq.ft.","1,095 sq.ft.
(102 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajairajpura
141,"₹ 56 Lac
₹ 4,307/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Jagdamba Nagar
142,"₹ 54 Lac
₹ 4,500/sq.ft.","1,231 sq.ft.
(114 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
143,"₹ 30 Lac
₹ 2,689/sq.ft.","1,115 sq.ft.
(104 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jhotwara
144,"₹ 25 Lac
₹ 6,476/sq.ft.","365 sq.ft.
(34 sq.m.) Super built-up Area","1 RK
1 Bath",(1 RK) Studio Apartment in Malviya Nagar
145,₹ 43 Lac,"1,430 sq.ft.
(133 sq.m.) Super built-up Area",3 BHK,3 BHK Residential Apartment in Chitrakoot
146,"₹ 21.11 Lac - 1.07 Cr
₹ 1,700/sq.ft.","1,242-6,300 sq.ft.
(115-585 sq.m.) Plot Area",,Residential land / Plot in Mahindra Sez
147,₹ 17.21 - 18.75 Lac,"403-441 sq.ft.
(37-41 sq.m.) Super built-up Area",,(1 RK) Studio Apartment in Jagatpura
148,"₹ 44.46 Lac
₹ 2,950/sq.ft.","1,507 sq.ft.
(140 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Ajmer Road
149,"₹ 37 Lac
₹ 4,355/sq.ft.","849 sq.ft.
(79 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
150,"₹ 48 Lac
₹ 3,349/sq.ft.","1,433 sq.ft.
(133 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
151,"₹ 33.5 Lac
₹ 2,253/sq.ft.","1,486 sq.ft.
(138 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar Extension
152,"₹ 36.61 - 93.38 Lac
₹ 1,883/sq.ft.","1,944-4,959 sq.ft.
(181-461 sq.m.) Plot Area",,Residential land / Plot in Mahapura
153,"₹ 1.29 - 1.47 Cr
₹ 3,600/sq.ft.","3,596-4,094 sq.ft.
(334-380 sq.m.) Built-up Area",4 BHK,4 Bedroom Independent House in Tonk Road
154,"₹ 49.75 Lac
₹ 3,554/sq.ft.","1,400 sq.ft.
(130 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ram Nagar
155,"₹ 38.83 Lac
₹ 2,200/sq.ft.","1,765 sq.ft.
(164 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
156,"₹ 3.21 Cr
₹ 12,067/sq.ft.","2,660 sq.ft.
(247 sq.m.) Super built-up Area",3 BHK,3 BHK Residential Apartment in C-Scheme
157,₹ 75 Lac,"1,540 sq.ft.
(143 sq.m.) Built-up Area","3 BHK
3 Baths",3 Bedroom Independent House in Ajmer Road
158,"₹ 29.2 Lac
₹ 3,455/sq.ft.","845 sq.ft.
(79 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
159,"₹ 60 Lac
₹ 3,750/sq.ft.","1,600 sq.ft.
(149 sq.m.) Built-up Area",3 BHK,3 Bedroom Independent House in Mansarovar Extension
160,"₹ 25 Lac
₹ 2,708/sq.ft.","923 sq.ft.
(86 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
161,₹ 42.69 Lac,"1,377 sq.ft.
(128 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Vaishali Nagar
162,"₹ 58 Lac
₹ 2,548/sq.ft.","2,276 sq.ft.
(211 sq.m.) Built-up Area","4 BHK
4 Baths",4 Bedroom Independent House in Ajmer Road
163,"₹ 46 Lac
₹ 3,680/sq.ft.","1,250 sq.ft.
(116 sq.m.) Built-up Area","2 BHK
2 Baths",2 Bedroom Independent House in Ajmer Road
164,₹ 13.9 Lac,"564 sq.ft.
(52 sq.m.) Super built-up Area",1 BHK,1 BHK Residential Apartment in Bhankrota
165,"₹ 23.39 - 58.48 Lac
₹ 1,444/sq.ft.","1,620-4,050 sq.ft.
(151-376 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
166,₹ 54.58 Lac,"1,475 sq.ft.
(137 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Vaishali Nagar
167,₹ 19.08 - 60.84 Lac,"1,014-3,236 sq.ft.
(94-301 sq.m.) Plot Area",,Residential land / Plot in Narsinghpura
