,Price,SQFT,rooms,Des
55,"₹ 30 Lac
₹ 6,000/sq.ft.","500 sq.ft.
(46 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
56,"₹ 25.8 Lac
₹ 3,097/sq.ft.","833 sq.ft.
(77 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
57,"₹ 3.8 Lac
₹ 278/sq.ft.","1,368 sq.ft.
(127 sq.m.) Plot Area",,Residential land / Plot in Chaksu
58,"₹ 32 Lac
₹ 1,138/sq.ft.","2,811 sq.ft.
(261 sq.m.) Plot Area",,Residential land / Plot in Sanganer
59,"₹ 10.54 Lac
₹ 9,499/sq.ft.","111 sq.ft.
(10 sq.m.) Plot Area",,Residential land / Plot in Vatika
60,"₹ 31.99 Lac
₹ 4,335/sq.ft.","738 sq.ft.
(69 sq.m.) Plot Area","4 BHK
2 Baths",4 Bedroom Independent House in Kalwar Road
61,"₹ 48 Lac
₹ 2,944/sq.ft.","1,630 sq.ft.
(151 sq.m.) Built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
62,"₹ 1 Cr
₹ 9,259/sq.ft.","1,080 sq.ft.
(100 sq.m.) Plot Area","8 BHK
5 Baths",8 Bedroom Independent House in Hanuman Nagar
63,"₹ 22.5 Lac
₹ 2,250/sq.ft.","1,000 sq.ft.
(93 sq.m.) Built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in mansarovar
64,"₹ 60 Lac
₹ 6,667/sq.ft.","900 sq.ft.
(84 sq.m.) Carpet Area","3 BHK
3 Baths",3 Bedroom Independent House in Kalwar Road
65,"₹ 3.77 Cr
₹ 5,555/sq.ft.","6,786 sq.ft.
(630 sq.m.) Plot Area",,Residential land / Plot in Nandpuri
66,"₹ 35 Lac
₹ 5,185/sq.ft.","675 sq.ft.
(63 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Kalwar Road
67,"₹ 85 Lac
₹ 63,909/sq.ft.","133 sq.ft.
(12 sq.m.) Plot Area","5 BHK
1 Bath",5 Bedroom Independent House in Ajmer Road
68,"₹ 55 Lac
₹ 3,525/sq.ft.","1,560 sq.ft.
(145 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Mansarovar Extension
69,"₹ 58 Lac
₹ 2,238/sq.ft.","2,592 sq.ft.
(241 sq.m.) Plot Area",,Residential land / Plot in Goner Road
70,"₹ 20 Lac
₹ 2,500/sq.ft.","800 sq.ft.
(74 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Near Iskcon Temple Mansarovar
71,"₹ 50.5 Lac
₹ 4,152/sq.ft.","1,216 sq.ft.
(113 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Gandhi Path
72,"₹ 80 Lac
₹ 5,000/sq.ft.","1,600 sq.ft.
(149 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Patrakar Colony
73,"₹ 33.5 Lac
₹ 2,576/sq.ft.","1,300 sq.ft.
(121 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Jagatpura
74,"₹ 48 Lac
₹ 4,637/sq.ft.","1,035 sq.ft.
(96 sq.m.) Plot Area","2 BHK
1 Bath",2 Bedroom Independent House in Jagatpura
75,"₹ 20 Lac
₹ 444/sq.ft.","4,500 sq.ft.
(418 sq.m.) Plot Area",,Residential land / Plot in SIKAR ROAD CHOMU
76,"₹ 68 Lac
₹ 8,774/sq.ft.","775 sq.ft.
(72 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Mansarover
77,"₹ 80 Lac
₹ 4,938/sq.ft.","1,620 sq.ft.
(151 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
78,"₹ 27.5 Lac
₹ 929/sq.ft.","2,960 sq.ft.
(275 sq.m.) Plot Area",,"Residential land / Plot in Kalpana nagar, Agra Road"
79,"₹ 35 Lac
₹ 5,384/sq.ft.","650 sq.ft.
(60 sq.m.) Carpet Area","2 BHK
1 Bath",2 BHK Residential Apartment in Sector 6 Chitrakoot
80,"₹ 16.67 Lac
₹ 1,667/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area",,Residential land / Plot in Bindayaka
81,"₹ 40 Lac
₹ 2,758/sq.ft.","1,450 sq.ft.
(135 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Residential Apartment in Tonk Road
82,"₹ 27 Lac
₹ 2,454/sq.ft.","1,100 sq.ft.
(102 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jagatpura
83,"₹ 55 Lac
₹ 3,666/sq.ft.","1,500 sq.ft.
(139 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Ajmer Road
84,"₹ 17 Lac
₹ 3,030/sq.ft.","561 sq.ft.
(52 sq.m.) Carpet Area","1 BHK
2 Baths",1 BHK Residential Apartment in Bhankrota
85,"₹ 30 Lac
₹ 4,444/sq.ft.","675 sq.ft.
(63 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Kalwar Road
86,"₹ 3.3 Cr
₹ 9,510/sq.ft.","3,470 sq.ft.
(322 sq.m.) Super built-up Area","4 BHK
5 Baths",4 BHK Residential Apartment in C-Scheme
87,"₹ 15 Lac
₹ 1,250/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
88,"₹ 52 Lac
₹ 6,420/sq.ft.","810 sq.ft.
(75 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Mahindra City
89,"₹ 46 Lac
₹ 3,538/sq.ft.","1,300 sq.ft.
(121 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Sector-6 Vidhyadhar Nagar
90,"₹ 40 Lac
₹ 66,666/sq.ft.","60 sq.ft.
(6 sq.m.) Plot Area","3 BHK
1 Bath",3 Bedroom Independent House in Shastri Nagar
91,"₹ 1.4 Cr
₹ 7,777/sq.ft.","1,800 sq.ft.
(167 sq.m.) Built-up Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Jawahar Nagar
92,"₹ 18 Lac
₹ 2,250/sq.ft.","800 sq.ft.
(74 sq.m.) Built-up Area","3 BHK
1 Bath",3 BHK Independent Builder Floor in Jhotwara
93,"₹ 60 Lac
₹ 4,958/sq.ft.","1,210 sq.ft.
(112 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
94,"₹ 18.9 Lac
₹ 3,123/sq.ft.","605 sq.ft.
(56 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
95,"₹ 2.22 Lac
₹ 278/sq.ft.","799 sq.ft.
(74 sq.m.) Plot Area",,Residential land / Plot in Mahlan
96,"₹ 65 Lac
₹ 1,887/sq.ft.","3,444 sq.ft.
(320 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Patrakar Colony
97,"₹ 32 Lac
₹ 3,200/sq.ft.","1,000 sq.ft.
(93 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Sitapura
98,"₹ 34.21 Lac
₹ 2,489/sq.ft.","1,386 sq.ft.
(129 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ajmer Road
99,"₹ 28 Lac
₹ 2,871/sq.ft.","975 sq.ft.
(91 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Ganesh Nagar
100,"₹ 55 Lac
₹ 35,358/sq.ft.","155 sq.ft.
(14 sq.m.) Plot Area",,Residential land / Plot in Dholai
101,"₹ 92 Lac
₹ 10,222/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Sindhu Nagar
102,"₹ 1.4 Cr
₹ 15,555/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Murlipura
103,"₹ 27 Lac
₹ 3,000/sq.ft.","900 sq.ft.
(84 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Indira Gandhi Nagar
104,"₹ 29 Lac
₹ 3,020/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","2 BHK
2 Baths",2 Bedroom Independent House in Paldi Meena
105,"₹ 38 Lac
₹ 2,128/sq.ft.","1,785 sq.ft.
(166 sq.m.) Super built-up Area","3 BHK
4 Baths",3 BHK Residential Apartment in Jagatpura
106,"₹ 90 Lac
₹ 5,000/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential property in Sunder Singh Bhandari Nagar
107,"₹ 22.5 Lac
₹ 1,500/sq.ft.","1,539 sq.ft.
(143 sq.m.) Plot Area",,Residential land / Plot in Badarna
108,"₹ 23 Lac
₹ 1,278/sq.ft.","1,800 sq.ft.
(167 sq.m.) Plot Area",,Residential land / Plot in Srikar Road
109,"₹ 9.5 Lac
₹ 691/sq.ft.","1,375 sq.ft.
(128 sq.m.) Plot Area",,Residential land / Plot in Diggi Road
110,"₹ 11 Lac
₹ 650/sq.ft.","1,692 sq.ft.
(157 sq.m.) Plot Area",,"Residential land / Plot in Ganesh Vihar Vistar, Chandlai Road"
111,"₹ 12 Lac
₹ 12,000/sq.ft.","100 sq.ft.
(9 sq.m.) Plot Area",,Residential land / Plot in Vinayak Dham
112,"₹ 5.5 Lac
₹ 407/sq.ft.","1,350 sq.ft.
(125 sq.m.) Plot Area",,Residential land / Plot in NH-8
113,"₹ 46 Lac
₹ 1,151/sq.ft.","3,996 sq.ft.
(371 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
114,"₹ 75 Lac
₹ 3,947/sq.ft.","1,900 sq.ft.
(177 sq.m.) Carpet Area","3 BHK
3 Baths",3 Bedroom Independent House in Jaisingh Pura Khor
115,"₹ 7 Lac
₹ 1,755/sq.ft.","398 sq.ft.
(37 sq.m.) Plot Area",,Residential land / Plot in Jaisingpura
116,"₹ 2 Cr
₹ 7,407/sq.ft.","2,700 sq.ft.
(251 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Surya Nagar
117,"₹ 25 Lac
₹ 1,434/sq.ft.","1,743 sq.ft.
(162 sq.m.) Plot Area",,Residential land / Plot in Abhinav vihar vistar
118,"₹ 10.75 Lac
₹ 2,239/sq.ft.","480 sq.ft.
(45 sq.m.) Carpet Area","1 BHK
1 Bath",1 BHK Residential Apartment in Baswara Ganesh nagar 22
119,"₹ 5.5 Lac
₹ 600/sq.ft.","1,000 sq.ft.
(93 sq.m.) Plot Area",,Residential land / Plot in Chaksu
120,"₹ 30 Lac
₹ 3,745/sq.ft.","801 sq.ft.
(74 sq.m.) Plot Area","5 BHK
2 Baths",5 Bedroom Independent House in Sarna dungar
121,"₹ 17 Lac
₹ 1,700/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area",,Residential land / Plot in Bindayaka
122,"₹ 90 Lac
₹ 7,500/sq.ft.","1,200 sq.ft.
(111 sq.m.) Plot Area","4 BHK
2 Baths",4 Bedroom Independent House in Sanjay Nagar
123,"₹ 10 Lac
₹ 2,105/sq.ft.","475 sq.ft.
(44 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Vrindavan Vihar
124,"₹ 30 Lac
₹ 2,899/sq.ft.","1,035 sq.ft.
(96 sq.m.) Plot Area","4 BHK
2 Baths",4 Bedroom Independent House in Nangal Jaisha Bohara Road
125,"₹ 1.31 Cr
₹ 6,942/sq.ft.","1,887 sq.ft.
(175 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Chitrakoot
126,"₹ 1.5 Cr
₹ 57/sq.ft.","261,359 sq.ft.
(24281 sq.m.) Plot Area",,Residential property in Chaksu
127,"₹ 12.5 Lac
₹ 555/sq.ft.","2,250 sq.ft.
(209 sq.m.) Plot Area",,Residential land / Plot in mahalan
128,"₹ 59.91 Lac
₹ 4,792/sq.ft.","1,250 sq.ft.
(116 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Residential Apartment in Jai Ambey Colony
129,"₹ 43 Lac
₹ 3,185/sq.ft.","1,350 sq.ft.
(125 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Independent Builder Floor in Vivek Vihar
130,"₹ 40 Lac
₹ 2,857/sq.ft.","1,400 sq.ft.
(130 sq.m.) Carpet Area","3 BHK
3 Baths",3 BHK Independent Builder Floor in Sanganer
131,"₹ 20 Lac
₹ 2,500/sq.ft.","800 sq.ft.
(74 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Niwaru Road
132,"₹ 7.5 Lac
₹ 2,500/sq.ft.","300 sq.ft.
(28 sq.m.) Plot Area",,Residential land / Plot in Chandlai
133,"₹ 45 Lac
₹ 3,750/sq.ft.","1,200 sq.ft.
(111 sq.m.) Carpet Area","3 BHK
2 Baths",3 BHK Independent Builder Floor in Gurjar Ki Thadi
134,"₹ 44 Lac
₹ 5,146/sq.ft.","855 sq.ft.
(79 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Kalwar Road
135,"₹ 7 Lac
₹ 3,500/sq.ft.","200 sq.ft.
(19 sq.m.) Plot Area",,Residential land / Plot in Chaksu
136,"₹ 5 Lac
₹ 436/sq.ft.","1,147 sq.ft.
(107 sq.m.) Plot Area",,"Residential land / Plot in Pawan putra enclave , Rojda, Niwaru Road"
137,"₹ 24.5 Lac
₹ 2,453/sq.ft.","999 sq.ft.
(93 sq.m.) Plot Area",,Residential land / Plot in Vrindavan Vihar
138,"₹ 11 Lac
₹ 1,222/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area",,Residential land / Plot in Mahindra City
139,"₹ 60 Lac
₹ 313/sq.ft.","19,184 sq.ft.
(1782 sq.m.) Plot Area","1 BHK
1 Bath",1 Bedroom Farm house in Kalpana Nagar
140,"₹ 5.5 Lac
₹ 1,222/sq.ft.","450 sq.ft.
(42 sq.m.) Plot Area",,"Residential land / Plot in Vatika Road,Tonk road"
141,"₹ 60 Lac
₹ 2,955/sq.ft.","2,030 sq.ft.
(189 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Mansarovar
142,"₹ 15 Lac
₹ 2,654/sq.ft.","565 sq.ft.
(52 sq.m.) Super built-up Area","1 RK
1 Bath",(1 RK) Studio Apartment in Vaishali Nagar
143,"₹ 20.51 Lac
₹ 1,864/sq.ft.","1,100 sq.ft.
(102 sq.m.) Super built-up Area","2 BHK
3 Baths",2 BHK Residential Apartment in Kanakpura
144,"₹ 45 Lac
₹ 3,600/sq.ft.","1,250 sq.ft.
(116 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jagatpura
145,"₹ 35 Lac
₹ 3,800/sq.ft.","1,000 sq.ft.
(93 sq.m.) Super built-up Area","3 BHK
2 Baths",3 BHK Residential Apartment in Vidhyut Nagar
146,"₹ 95 Lac
₹ 5,082/sq.ft.","1,869 sq.ft.
(174 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Sanganer
147,"₹ 60 Lac
₹ 6,061/sq.ft.","990 sq.ft.
(92 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Jaisinghpura
148,"₹ 39 Lac
₹ 4,333/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Govindpura
149,"₹ 19 Lac
₹ 2,308/sq.ft.","823 sq.ft.
(76 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Shivdaspura
150,"₹ 28 Lac
₹ 3,500/sq.ft.","800 sq.ft.
(74 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Jhotwara
151,"₹ 23 Lac
₹ 2,190/sq.ft.","1,050 sq.ft.
(98 sq.m.) Carpet Area","3 BHK
2 Baths","3 BHK Independent Builder Floor in Gandhipath , bhura patel marg , Navdeep vihar road, Ayodhyanagar"
152,"₹ 2.5 Cr
₹ 12,346/sq.ft.","2,025 sq.ft.
(188 sq.m.) Plot Area","6 BHK
3 Baths",6 Bedroom Independent House in Chandpole
153,"₹ 10 Lac
₹ 3,367/sq.ft.","297 sq.ft.
(28 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
154,"₹ 4.5 Cr
₹ 5,972/sq.ft.","7,534 sq.ft.
(700 sq.m.) Plot Area",,Residential land / Plot in Chandpole
155,"₹ 55 Lac
₹ 4,000/sq.ft.","1,375 sq.ft.
(128 sq.m.) Super built-up Area","2 BHK
2 Baths",2 BHK Residential Apartment in Adarsh Nagar
156,"₹ 9 Lac
₹ 2,250/sq.ft.","400 sq.ft.
(37 sq.m.) Super built-up Area","1 BHK
1 Bath",1 BHK Residential Apartment in Jaipur Kalwar Road Royal City
157,"₹ 56 Lac
₹ 3,500/sq.ft.","1,080 sq.ft.
(100 sq.m.) Plot Area","3 BHK
3 Baths",3 Bedroom Independent House in Ajmer Road
158,"₹ 29.5 Lac
₹ 1,082/sq.ft.","2,727 sq.ft.
(253 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
159,"₹ 38 Lac
₹ 1,545/sq.ft.","2,460 sq.ft.
(229 sq.m.) Plot Area",,Residential land / Plot in Chomu
160,"₹ 5 Lac
₹ 736/sq.ft.","679 sq.ft.
(63 sq.m.) Plot Area",,Residential land / Plot in Khora beesal
161,"₹ 39 Lac
₹ 3,545/sq.ft.","1,100 sq.ft.
(102 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in Katewa Nagar
162,"₹ 27 Lac
₹ 3,600/sq.ft.","750 sq.ft.
(70 sq.m.) Carpet Area","2 BHK
2 Baths",2 BHK Residential Apartment in Vaishali Nagar
163,"₹ 55 Lac
₹ 6,111/sq.ft.","900 sq.ft.
(84 sq.m.) Plot Area","3 BHK
2 Baths",3 Bedroom Independent House in Sirsi Road
164,"₹ 4.99 Lac
₹ 4,995/sq.ft.","100 sq.ft.
(9 sq.m.) Plot Area",,Residential land / Plot in Ajmer Road
165,"₹ 5 Cr
₹ 13,355/sq.ft.","3,744 sq.ft.
(348 sq.m.) Plot Area","15 BHK
8 Baths",15 Bedroom Independent House in Kanti Nagar
166,"₹ 15.8 Lac
₹ 906/sq.ft.","1,743 sq.ft.
(162 sq.m.) Plot Area",,Residential land / Plot in Rohini Nagar
167,"₹ 55 Lac
₹ 8,148/sq.ft.","675 sq.ft.
(63 sq.m.) Plot Area",,Residential land / Plot in Kishanpole Bazar
168,"₹ 1.8 Cr
₹ 7,815/sq.ft.","2,303 sq.ft.
(214 sq.m.) Super built-up Area","3 BHK
3 Baths",3 BHK Residential Apartment in C-Scheme
