,apt_name,apt_rent_month,BHK,sq_ft,description
8026,,"₹ 45 Lac
₹ 7,576/sq.ft.","3 BHK
3 Baths","594 sq.ft.
(55 sq.m.) Plot Area",3 Bedroom Independent House in Jagatpura
8027,Chandrakunj Apartments,"₹ 40 Lac
₹ 3,636/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Super built-up Area",2 BHK Residential Apartment in Shyam Nagar
8028,,"₹ 55 Lac
₹ 7,189/sq.ft.","3 BHK
3 Baths","765 sq.ft.
(71 sq.m.) Plot Area",3 Bedroom Independent House in Jagatpura
8029,Auric Villas Prime,"₹ 17 Lac
₹ 25,502/sq.ft.","2 BHK
2 Baths","66 sq.ft.
(6 sq.m.) Plot Area",2 Bedroom Independent House in Jaisinghpura
8030,Shankra Residency,"₹ 18 Lac
₹ 1,500/sq.ft.","3 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
8031,Reyansh Associates,"₹ 43 Lac
₹ 3,440/sq.ft.","3 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
8032,,"₹ 55 Lac
₹ 2,753/sq.ft.",,"1,998 sq.ft.
(186 sq.m.) Plot Area",Residential land / Plot in Govindpura
8033,,"₹ 25 Lac
₹ 844/sq.ft.",,"2,960 sq.ft.
(275 sq.m.) Plot Area",Residential land / Plot in Kalpana Nagar
8034,,"₹ 3.4 Cr
₹ 7,805/sq.ft.","5 BHK
3 Baths","4,356 sq.ft.
(405 sq.m.) Plot Area",5 Bedroom Independent House in Bani Park
8035,,"₹ 3.5 Lac
₹ 389/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Sirsi Road
8036,,"₹ 60 Lac
₹ 2,331/sq.ft.",,"2,574 sq.ft.
(239 sq.m.) Plot Area",Residential land / Plot in Sirsi Road
8037,Manglam City,"₹ 8 Lac
₹ 2,000/sq.ft.","1 BHK
1 Bath","400 sq.ft.
(37 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jhotwara
8038,Arihant Dynasty,"₹ 28 Lac
₹ 2,153/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Patrakar Colony
8039,,"₹ 25 Lac
₹ 4,630/sq.ft.","2 BHK
1 Bath","540 sq.ft.
(50 sq.m.) Plot Area",2 Bedroom Independent House in Pratap Nagar
8040,Vinayak Apartments,"₹ 35 Lac
₹ 3,360/sq.ft.","3 BHK
3 Baths","1,250 sq.ft.
(116 sq.m.) Built-up Area",3 BHK Residential Apartment in Rani Sati Nagar
8041,,"₹ 60 Lac
₹ 5,291/sq.ft.","4 BHK
3 Baths","1,134 sq.ft.
(105 sq.m.) Plot Area",4 Bedroom Independent House in Murlipura
8042,Swastik Homes,"₹ 4.5 Lac
₹ 450/sq.ft.",,"1,000 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Manglam City
8043,,"₹ 60 Lac
₹ 4,000/sq.ft.",,"1,499 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Mansarovar Extension
8044,Vinayakpuri Ganpatpura,"₹ 30 Lac
₹ 3,333/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Narayan Vihar
8045,,"₹ 55 Lac
₹ 7,189/sq.ft.","4 BHK
2 Baths","765 sq.ft.
(71 sq.m.) Plot Area",4 Bedroom Independent House in Jagatpura
8046,Rawat GMR Residency Ist,"₹ 8 Lac
₹ 1,142/sq.ft.","2 BHK
1 Bath","700 sq.ft.
(65 sq.m.) Carpet Area",2 BHK Residential Apartment in Kalwar
8047,LAXMI Vila,"₹ 60 Lac
₹ 5,218/sq.ft.","2 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Super built-up Area",2 BHK Residential Apartment in Bani Park
8048,Madav Gaon,"₹ 17 Lac
₹ 1,702/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Patrakar colony
8049,JDA Approved,"₹ 45 Lac
₹ 5,435/sq.ft.","3 BHK
2 Baths","828 sq.ft.
(77 sq.m.) Plot Area",3 Bedroom Independent House in Sodala
8050,,"₹ 29 Lac
₹ 2,537/sq.ft.",,"1,143 sq.ft.
(106 sq.m.) Plot Area",Residential land / Plot in Narayan Vihar
8051,Randheer Apartment,"₹ 55 Lac
₹ 3,793/sq.ft.","3 BHK
2 Baths","1,450 sq.ft.
(135 sq.m.) Built-up Area",3 BHK Residential Apartment in Raja Park
8052,,"₹ 2.37 Cr
₹ 6,667/sq.ft.",,"3,375 sq.ft.
(314 sq.m.) Plot Area","Residential land / Plot in Paschim Vihar, Vaishali Nagar"
8053,,"₹ 58 Lac
₹ 7,838/sq.ft.","4 BHK
4 Baths","739 sq.ft.
(69 sq.m.) Plot Area",4 Bedroom Independent House in Jagatpura
8054,The Pleasure Garden,"₹ 32 Lac
₹ 1,778/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Patrakar Colony
8055,UDB Southern Heights,"₹ 30 Lac
₹ 2,000/sq.ft.","2 BHK
2 Baths","1,500 sq.ft.
(139 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
8056,Apartment,"₹ 9.45 Lac
₹ 2,639/sq.ft.","1 BHK
1 Bath","358 sq.ft.
(33 sq.m.) Super built-up Area",1 BHK Residential Apartment in Near D mar
8057,Kamal Vatika,"₹ 18 Lac
₹ 3,500/sq.ft.","2 BHK
2 Baths","500 sq.ft.
(46 sq.m.) Built-up Area",2 Bedroom Independent House in Vatika Road
8058,Ansal Sushant City 1,"₹ 12.5 Lac
₹ 1,157/sq.ft.",,"1,080 sq.ft.
(100 sq.m.) Plot Area",Residential land / Plot in Manchwa
8059,,"₹ 35 Lac
₹ 2,333/sq.ft.",,"1,500 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Sirsi Road
8060,,"₹ 17 Lac
₹ 2,833/sq.ft.","3 BHK
1 Bath","600 sq.ft.
(56 sq.m.) Plot Area",3 Bedroom Independent House in Bus stand
8061,MBR Precious,"₹ 30 Lac
₹ 2,525/sq.ft.","3 BHK
2 Baths","1,188 sq.ft.
(110 sq.m.) Plot Area",3 Bedroom Independent House in Sirsi Road
8062,,"₹ 51 Lac
₹ 4,444/sq.ft.","3 BHK
2 Baths","1,125 sq.ft.
(105 sq.m.) Plot Area","3 Bedroom Independent House in Ganesh Nagar Main, Niwaru Road, Jhotwara"
8063,,"₹ 33 Lac
₹ 8,333/sq.ft.","2 BHK
2 Baths","396 sq.ft.
(37 sq.m.) Plot Area",2 Bedroom Independent House in Pratap Nagar
8064,KOT RESIDENCY PROJECT,"₹ 30 Lac
₹ 1,389/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Kotputli
8065,,"₹ 65 Lac
₹ 5,417/sq.ft.","2 BHK
2 Baths","1,199 sq.ft.
(111 sq.m.) Plot Area",2 Bedroom Independent House in Mansarovar Extension
8066,,"₹ 27 Lac
₹ 1,862/sq.ft.","3 BHK
3 Baths","1,450 sq.ft.
(135 sq.m.) Carpet Area",3 Bedroom Independent House in Vatika Road
8067,,"₹ 49 Lac
₹ 8,781/sq.ft.","4 BHK
2 Baths","558 sq.ft.
(52 sq.m.) Plot Area",4 Bedroom Independent House in Mansarovar Extension
8068,,"₹ 1.04 Cr
₹ 797/sq.ft.","3 BHK
2 Baths","13,050 sq.ft.
(1212 sq.m.) Plot Area",3 Bedroom Farm house in Jaisinghpura Khor
8069,,"₹ 65 Lac
₹ 3,355/sq.ft.",,"1,937 sq.ft.
(180 sq.m.) Plot Area",Residential land / Plot in Indira Gandhi Nagar
8070,,"₹ 32 Lac
₹ 743/sq.ft.",,"4,305 sq.ft.
(400 sq.m.) Plot Area",Residential land / Plot in Sikar Road
8071,,"₹ 60 Lac
₹ 5,128/sq.ft.",,"1,170 sq.ft.
(109 sq.m.) Plot Area",Residential land / Plot in Malviya Nagar
8072,Shiriji Homes,"₹ 19.7 Lac
₹ 3,030/sq.ft.","2 BHK
2 Baths","650 sq.ft.
(60 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
8073,,"₹ 2.25 Cr
₹ 8,039/sq.ft.","6 BHK
4 Baths","2,799 sq.ft.
(260 sq.m.) Plot Area",6 Bedroom Independent House in Pratap Nagar
8074,,"₹ 2.5 Cr
₹ 8,929/sq.ft.",,"2,799 sq.ft.
(260 sq.m.) Plot Area",Residential land / Plot in Jai Jawan Colony
8075,Parmanand Vatika,"₹ 32 Lac
₹ 4,000/sq.ft.","3 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Built-up Area",3 Bedroom Independent House in Govindpura
8076,Balaji Tower,"₹ 52.5 Lac
₹ 292/sq.ft.","3 BHK
3 Baths","18,000 sq.ft.
(1672 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Chitrakoot
8077,Officers campus extension,"₹ 1.5 Cr
₹ 8,333/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Officers Campus Colony
8078,Raghunandan Vihar,"₹ 70 Lac
₹ 3,889/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Jagatpura
8079,Chenab Apartment,"₹ 17.25 Lac
₹ 2,197/sq.ft.","2 BHK
2 Baths","785 sq.ft.
(73 sq.m.) Carpet Area",2 BHK Residential Apartment in Sector-28 Pratap Nagar
8080,Royal Paradise,"₹ 55 Lac
₹ 3,928/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Malviya Nagar
8081,Manglam Shree Krishna Van,"₹ 42.3 Lac
₹ 1,767/sq.ft.",,"2,394 sq.ft.
(222 sq.m.) Plot Area",Residential land / Plot in Ayodhya Nagar
8082,Nirman shree villa,"₹ 1.05 Cr
₹ 10,324/sq.ft.","3 BHK
3 Baths","1,017 sq.ft.
(94 sq.m.) Plot Area",3 Bedroom Independent House in Nirman Nagar
8083,Nirman gopal villa,"₹ 1.05 Cr
₹ 10,324/sq.ft.","3 BHK
3 Baths","1,017 sq.ft.
(94 sq.m.) Plot Area",3 Bedroom Independent House in Nirman Nagar
8084,JDA Approved,"₹ 55.25 Lac
₹ 4,092/sq.ft.","3 BHK
2 Baths","1,350 sq.ft.
(125 sq.m.) Plot Area",3 Bedroom Independent House in Dadi Ka Phatak
8085,,"₹ 20.91 Lac
₹ 1,991/sq.ft.","3 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Plot Area",3 Bedroom Independent House in Kanakpura
8086,,"₹ 65 Lac
₹ 7,222/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Pratap Nagar
8087,,"₹ 1.95 Cr
₹ 6,667/sq.ft.",,"2,925 sq.ft.
(272 sq.m.) Plot Area",Residential land / Plot in Vaishali Nagar
8088,,"₹ 42 Lac
₹ 155/sq.ft.","1 BHK
1 Bath","26,970 sq.ft.
(2506 sq.m.) Plot Area",1 Bedroom Farm house in Chittora
8089,Anukampa Royal Celebrity,"₹ 18 Lac
₹ 3,600/sq.ft.","4 BHK
2 Baths","500 sq.ft.
(46 sq.m.) Built-up Area",4 Bedroom Independent House in Jaisingh Pura Khor
8090,Vijay Enclave Society,"₹ 25 Lac
₹ 2,240/sq.ft.","3 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kamla Nehru Nagar
8091,,"₹ 12.5 Lac
₹ 1,388/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Hathoj
8092,Vatika Infotech City,"₹ 3.95 Lac
₹ 878/sq.ft.",,"450 sq.ft.
(42 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
8093,Mangalam Green Valley Shree Krishna Van,"₹ 12.5 Lac
₹ 3,230/sq.ft.",,"387 sq.ft.
(36 sq.m.) Plot Area",Residential land / Plot in Sirsi Road
8094,Kisan marg,"₹ 60 Lac
₹ 4,285/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Carpet Area",3 BHK Residential Apartment in Barkat Nagar
8095,,"₹ 22.51 Lac
₹ 3,474/sq.ft.",,"648 sq.ft.
(60 sq.m.) Plot Area",Residential land / Plot in Mansarovar
8096,,"₹ 68 Lac
₹ 7,556/sq.ft.","3 BHK
4 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Jhotwara
8097,Ganesh Vihar,"₹ 16.61 Lac
₹ 1,661/sq.ft.",,"1,000 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Kanakpura
8098,,"₹ 4.75 Cr
₹ 10,556/sq.ft.",,"4,500 sq.ft.
(418 sq.m.) Plot Area",Residential land / Plot in Shyam Nagar
8099,,"₹ 60 Lac
₹ 2,506/sq.ft.",,"2,394 sq.ft.
(222 sq.m.) Plot Area",Residential land / Plot in Mangyawas
8100,mansarovar colony,"₹ 2.5 Cr
₹ 11,613/sq.ft.","3 BHK
2 Baths","2,152 sq.ft.
(200 sq.m.) Plot Area",3 Bedroom Independent House in Mansarovar
8101,,"₹ 16 Lac
₹ 1,600/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Patrakar Colony
8102,,"₹ 46 Lac
₹ 6,411/sq.ft.",,"717 sq.ft.
(67 sq.m.) Plot Area",Residential land / Plot in Chitrakoot
8103,,"₹ 2.3 Cr
₹ 11,500/sq.ft.","4 BHK
4 Baths","2,000 sq.ft.
(186 sq.m.) Plot Area",4 Bedroom Independent House in Malviya Nagar
8104,Nirman vinayak residency,"₹ 30 Lac
₹ 2,307/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
8105,Sunny Enclave,"₹ 16 Lac
₹ 3,076/sq.ft.","1 BHK
1 Bath","520 sq.ft.
(48 sq.m.) Super built-up Area",1 BHK Residential Apartment in Mansarovar
8106,JDA Colony Swapan Lok,"₹ 21 Lac
₹ 887/sq.ft.",,"2,368 sq.ft.
(220 sq.m.) Plot Area",Residential land / Plot in Sikar Road
